u,d,s
102.0,2018-09-05,756
102.0,2018-09-05,6800
102.0,2018-09-05,6800
102.0,2018-09-05,11820
102.0,2018-09-05,4700
102.0,2018-08-24,10800
102.0,2018-08-24,17280
102.0,2018-08-25,6800
102.0,2018-08-25,6500
102.0,2018-08-25,8300
102.0,2018-08-27,8200
102.0,2018-08-27,6800
102.0,2018-09-13,14200
102.0,2018-08-30,6600
102.0,2018-08-30,8240
102.0,2018-09-01,9396
102.0,2018-09-02,6096
102.0,2018-09-02,13408
102.0,2018-09-02,8300
102.0,2018-09-02,6480
102.0,2018-09-02,8640
102.0,2018-09-02,8300
102.0,2018-09-02,5424
102.0,2018-09-03,7560
102.0,2018-09-03,5980
102.0,2018-09-13,8548
102.0,2018-09-13,9396
102.0,2018-09-13,6724
102.0,2018-09-13,4600
102.0,2018-09-14,23004
102.0,2018-09-03,9120
102.0,2018-09-02,8300
102.0,2018-09-03,7800
102.0,2018-09-03,8640
33.0,2018-09-03,123456
33.0,2018-09-03,235765432
33.0,2018-09-03,3345679
33.0,2018-09-03,34688
102.0,2018-09-02,8300
102.0,2018-09-01,6800
102.0,2018-09-01,8300
102.0,2018-09-01,4300
102.0,2018-09-01,4800
102.0,2018-09-01,8096
102.0,2018-09-01,6800
102.0,2018-08-31,8640
102.0,2018-08-30,9668
102.0,2018-08-30,6480
102.0,2018-08-24,0
102.0,2018-08-29,6480
102.0,2018-08-27,6800
102.0,2018-08-27,8640
102.0,2018-08-27,1
102.0,2018-08-27,6480
102.0,2018-08-27,8640
102.0,2018-08-26,8640
33.0,2018-09-05,5500
33.0,2018-09-05,3000
33.0,2018-09-05,3000
33.0,2018-09-05,3000
33.0,2018-09-05,2500
33.0,2018-09-05,0
33.0,2018-09-05,0
33.0,2018-09-05,0
33.0,2018-09-05,2500
33.0,2018-09-05,0
33.0,2018-09-05,0
33.0,2018-09-05,0
33.0,2018-09-05,2500
33.0,2018-09-05,0
33.0,2018-09-05,0
33.0,2018-09-05,0
102.0,2018-09-05,6480
102.0,2018-09-05,8640
102.0,2018-09-13,0
102.0,2018-09-13,756
33.0,2018-09-05,0
102.0,2018-09-06,7100
102.0,2018-09-06,8640
102.0,2018-09-06,2160
102.0,2018-09-06,4800
102.0,2018-09-06,7128
102.0,2018-09-06,6800
102.0,2018-09-06,4560
102.0,2018-09-06,8300
102.0,2018-09-07,6800
102.0,2018-09-07,6700
102.0,2018-09-07,7236
102.0,2018-09-07,0
102.0,2018-09-08,8640
102.0,2018-09-08,8640
102.0,2018-09-08,6628
102.0,2018-09-08,6800
102.0,2018-09-08,6800
102.0,2018-09-09,8640
102.0,2018-09-09,7252
102.0,2018-09-09,5756
102.0,2018-09-10,13640
102.0,2018-09-10,8964
102.0,2018-09-12,6480
102.0,2018-09-10,22680
102.0,2018-09-12,10260
102.0,2018-09-10,6300
33.0,2018-09-10,0
102.0,2018-09-12,4300
102.0,2018-09-12,6800
33.0,2018-09-11,0
33.0,2018-09-18,55754776
33.0,2018-09-18,44
33.0,2018-09-18,45345
33.0,2018-09-18,5235235
33.0,2018-09-18,4325325
33.0,2018-09-18,0
102.0,2018-09-12,8040
102.0,2018-09-12,5500
102.0,2018-09-12,6380
102.0,2018-09-14,6800
102.0,2018-09-14,6480
102.0,2018-09-14,6800
102.0,2018-09-14,6800
102.0,2018-09-14,7776
33.0,2018-09-15,0
33.0,2018-09-15,2000
33.0,2018-09-15,3000
33.0,2018-09-15,4346
102.0,2018-09-15,0
102.0,2018-09-15,15120
102.0,2018-09-15,0
102.0,2018-09-15,7560
102.0,2018-09-15,0
102.0,2018-09-15,9507
102.0,2018-09-15,0
102.0,2018-09-15,7900
102.0,2018-09-17,0
33.0,2018-09-17,0
102.0,2018-10-26,6840
102.0,2018-10-26,0
33.0,2018-09-17,324354
33.0,2018-09-17,0
33.0,2018-09-17,32412341234
33.0,2018-09-17,1331
33.0,2018-09-17,1331
33.0,2018-09-18,0
33.0,2018-09-18,543634
33.0,2018-09-18,0
33.0,2018-09-18,0
33.0,2018-09-18,0
33.0,2018-09-18,0
33.0,2018-09-18,0
33.0,2018-09-18,45423
33.0,2018-09-18,0
33.0,2018-09-18,0
33.0,2018-09-18,0
33.0,2018-09-18,24567
33.0,2018-09-18,66444
33.0,2018-09-18,455666
33.0,2018-09-18,234
33.0,2018-09-18,234565
33.0,2018-09-18,14241324
33.0,2018-09-18,12341
33.0,2018-09-18,0
33.0,2018-09-18,14234125
33.0,2018-09-18,1245243
33.0,2018-09-18,124123
33.0,2018-09-18,2452
33.0,2018-09-18,43252
33.0,2018-09-18,44325
33.0,2018-09-18,3424
33.0,2018-09-18,43223
33.0,2018-09-18,3242
33.0,2018-09-18,23423
33.0,2018-09-18,43252
33.0,2018-09-19,3333
